pct_std,county,precinct,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREODEL,G20PRESLAR,G20PREGHAW,G20PRECBLA,G20PREOWRI
ALA0001,ALA,"01",725,424,6,2,1,1,0,1
ALA0002,ALA,"02",969,752,18,0,0,3,1,8
ALA0003,ALA,"03",2036,1431,32,1,0,5,3,10
ALA0004,ALA,"04",1749,990,37,1,1,4,1,7
ALA0005,ALA,"05",624,1789,36,0,0,12,0,18
ALA0006,ALA,"06",1607,1107,20,2,1,2,0,6
ALA0007,ALA,"07",282,1430,18,1,2,10,1,4
ALA0008,ALA,"08",850,734,17,0,1,7,0,0
ALA0009,ALA,"09",329,138,1,0,0,1,1,0
ALA0010,ALA,"10",589,698,17,1,0,1,0,3
ALA0011,ALA,"11",1116,1204,23,1,1,1,3,4
ALA0012,ALA,"12",375,1549,24,1,4,10,1,10
ALA0013,ALA,"13",91,1583,10,0,1,4,2,4
ALA0014,ALA,"14",659,346,9,1,0,0,1,6
ALA0015,ALA,"15",387,286,2,0,0,0,0,4
ALA0016,ALA,"16",1057,1222,19,1,0,1,0,5
ALA0017,ALA,"17",627,1732,29,5,2,3,1,10
ALA0018,ALA,"18",948,1472,18,1,0,1,1,12
ALA0019,ALA,"19",118,1078,10,0,2,3,0,5
ALA0020,ALA,"20",1838,1243,31,4,3,4,1,6
ALA0021,ALA,"21",814,1580,23,1,1,4,0,8
ALA0022,ALA,"22",949,1868,29,3,4,6,0,13
ALA0023,ALA,"23",352,1161,15,0,0,2,1,8
ALA0024,ALA,"24",501,1288,21,1,2,4,0,4
ALA0025,ALA,"25",299,1573,23,0,1,5,1,11
ALA0026,ALA,"26",352,1026,15,2,0,2,0,6
ALA0027,ALA,"27",344,2387,25,2,2,6,1,8
ALA0028,ALA,"28",220,2035,5,0,3,5,0,5
ALA0029,ALA,"29",999,1435,19,0,1,2,0,4
ALA0030,ALA,"30",278,1705,12,0,4,5,0,10
ALA0031,ALA,"31",418,1297,24,0,0,8,0,5
ALA0032,ALA,"32",712,1873,41,1,3,8,0,18
ALA0033,ALA,"33",324,1640,15,1,7,5,2,5
ALA0034,ALA,"34",562,462,5,0,0,1,0,2
ALA0035,ALA,"35",562,829,12,0,1,3,1,3
ALA0036,ALA,"36",491,1858,29,2,2,8,0,5
ALA0037,ALA,"37",716,1203,18,0,1,4,1,8
ALA0038,ALA,"38",926,1821,31,4,2,3,0,10
ALA0039,ALA,"39",438,1720,23,0,3,16,0,2
ALA0040,ALA,"40",697,1254,29,0,0,13,0,7
ALA0041,ALA,"41",1247,1149,22,1,1,1,7,10
ALA0042,ALA,"42",1042,1448,28,3,0,5,0,2
ALA0043,ALA,"43",789,1655,28,1,3,6,2,7
ALA0044,ALA,"44",714,3389,69,0,5,17,0,25
ALA0045,ALA,"45",1902,3043,33,3,0,4,2,29
ALA0046,ALA,"46",1464,2021,31,1,1,4,0,11
ALA0047,ALA,"47",1545,1941,15,2,0,2,1,5
