STATEFP20,COUNTYFP20,VTDST20,GEOID20,NAME20,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREABLA,G20PREOCAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20USSRHYD,G20USSDESP,G20USSLEDW
"28","017","000107","28017000107",Egypt,126,225,2,0,2,0,0,0,0,115,236,2
"28","017","000114","28017000114",Pearsall,242,74,9,1,0,0,1,1,0,238,80,9
"28","017","000115","28017000115",Sparta,146,55,3,0,1,0,1,0,0,133,70,3
"28","017","000112","28017000112",Pleasant Grove,526,76,1,0,1,0,0,2,1,495,96,15
"28","017","000106","28017000106",East Okolona,74,667,7,0,2,1,6,2,0,70,689,2
"28","017","000102","28017000102",North Houlka,128,192,1,2,0,0,3,0,0,112,213,3
"28","017","000104","28017000104",North Okolona,250,268,4,0,0,0,4,0,0,237,284,6
"28","017","000105","28017000105",West Okolona,305,436,6,1,1,1,6,1,0,284,464,9
"28","017","000101","28017000101",South Houlka,337,121,2,0,0,1,0,1,1,305,147,11
"28","061","000502","28061000502",Claiborne,183,291,1,0,1,0,0,0,1,170,294,10
"28","061","000501","28061000501",Philadelphia,68,253,0,0,0,0,0,1,0,64,251,2
"28","019","000010","28019000010",Byway,151,57,1,0,0,0,0,2,0,141,66,2
"28","019","000009","28019000009",Chester,191,64,1,0,0,0,0,0,0,186,71,0
"28","019","000008","28019000008",Kenego,250,8,0,0,0,0,1,0,0,224,24,6
"28","019","000005","28019000005",Fentress,205,72,1,0,0,0,0,0,0,187,81,5
"28","019","000006","28019000006",West Weir,184,85,1,0,1,0,0,0,0,176,91,4
"28","019","000013","28019000013",Reform,205,89,0,1,0,0,0,0,1,194,98,2
"28","019","000011","28019000011",Hebron,187,31,0,0,0,0,1,0,0,174,36,6
"28","019","000012","28019000012",Sherwood,303,13,4,0,0,0,0,0,0,291,20,10
"28","019","000007","28019000007",French Camp,271,53,3,0,1,0,0,0,0,256,61,7
"28","019","000002","28019000002",East Weir,84,204,0,0,0,1,1,0,0,73,219,4
"28","019","000001","28019000001",Panhandle,138,92,0,0,0,0,0,1,0,126,102,5
"28","103","000103","28103000103",Prairie Point,143,345,2,1,1,0,3,0,0,138,355,1
"28","103","000101","28103000101",Cliftonville,29,413,1,3,0,0,1,1,0,27,424,1
"28","103","000203","28103000203",Noxubee Human Resource,199,783,1,0,0,0,3,1,0,186,799,1
"28","103","000302","28103000302",Central District 3,168,1033,4,0,5,3,2,0,0,153,1047,6
"28","103","000401","28103000401",Mashulaville,196,152,0,1,1,0,1,1,1,192,157,1
"28","103","000501","28103000501",Brooksville,269,757,5,1,2,1,4,2,2,259,777,6
"28","013","000005","28013000005",Calhoun City 1,325,400,4,0,0,0,3,0,1,290,436,11
"28","013","000009","28013000009",Calhoun City 4,753,243,2,0,1,0,3,3,0,716,272,16
"28","013","000004","28013000004",Pittsboro 1,103,377,1,1,1,1,3,2,0,95,394,3
"28","013","000006","28013000006",Pittsboro 2,428,138,1,0,1,0,2,0,0,390,160,16
"28","013","000003","28013000003",NE Calhoun,662,103,1,0,2,0,0,1,2,629,125,19
"28","013","000001","28013000001",Banner,388,52,0,0,1,0,0,0,0,374,59,8
"28","013","000008","28013000008",Derma 5,381,97,0,1,1,1,1,1,0,359,117,6
"28","013","000002","28013000002",Bruce 3,749,227,3,0,2,0,2,2,0,715,255,16
"28","013","000010","28013000010",Derma 4,303,63,0,0,0,0,1,1,1,290,77,3
"28","013","000007","28013000007",Vardaman,533,202,3,2,0,0,2,0,2,483,243,14
"28","025","000101","28025000101",Vinton,228,290,3,0,1,0,1,0,1,220,305,4
"28","025","000102","28025000102",North West Point,552,788,2,2,3,0,8,0,0,531,833,6
"28","025","000403","28025000403",West West Point,278,921,5,2,6,1,5,4,0,262,973,6
"28","025","000203","28025000203",East West Point,860,556,9,2,3,4,4,2,1,846,593,11
"28","025","000501","28025000501",South West Point,271,747,6,1,3,0,4,2,2,252,781,14
"28","025","000202","28025000202",Tibbee,126,192,2,0,2,0,1,0,0,113,206,6
"28","025","000201","28025000201",Union Star,267,294,1,1,1,0,1,0,2,254,309,6
"28","025","000301","28025000301",Siloam,520,310,4,0,4,6,3,2,0,506,338,12
"28","025","000302","28025000302",Central West Point,340,522,7,2,0,0,4,3,0,327,541,18
"28","025","000303","28025000303",Cairo,185,149,2,0,1,0,0,0,0,176,159,6
"28","025","000401","28025000401",Caradine,103,556,2,1,1,1,2,2,0,102,568,5
"28","025","000503","28025000503",Pheba,217,235,3,0,1,1,0,1,2,208,250,6
"28","025","000502","28025000502",Cedar Bluff,159,17,1,1,0,0,0,0,0,145,27,7
"28","025","000504","28025000504",Pine Bluff,75,267,1,0,1,4,2,1,0,64,288,2
"28","135","000103","28135000103",Springhill,152,17,1,1,0,0,1,0,0,143,24,3
"28","135","000305","28135000305",Murphreesboro,163,18,0,0,0,1,0,0,0,156,25,1
"28","135","000306","28135000306",Rosebloom,127,3,0,0,0,0,0,1,0,122,7,1
"28","059","000102","28059000102",North Vancleave,1442,277,22,1,0,2,2,0,0,1349,337,49
"28","059","000101","28059000101",Hwy 57,379,24,3,0,0,0,1,0,0,359,35,12
"28","059","000207","28059000207",Jefferson Street,372,1170,2,1,0,2,6,4,1,348,1206,14
"28","059","000305","28059000305",Eastlawn,777,197,10,0,4,1,1,1,1,717,240,31
"28","059","000309","28059000309",North Pascagoula,318,76,0,2,2,0,2,2,0,295,96,10
"28","059","000403","28059000403",Ryan Youth Center,1074,479,27,1,3,3,3,3,1,1007,538,40
"28","059","000401","28059000401",Villa Maria,323,158,2,0,0,0,1,0,0,292,183,8
"28","059","000408","28059000408",Larue,248,22,2,0,0,0,1,0,1,226,36,9
